Button | STATUS | midino | Channel | Mixxx Group | Mixxx Key
Deck 1 Shift | 0x91 | 0x37 | 2 | [Channel1] | GeminiSlate.shift
Deck 1 Jog Touch | 0x91 | 0x41 | 2 | [Channel1] | GeminiSlate.wheelTouch
Deck 1 Jog Turn | 0xB1 | 0x04 | 2 | [Channel1] | GeminiSlate.wheelTurn
Deck 1 Rate Fader | 0xB1 | 0x01 | 2 | [Channel1] | GeminiSlate.rate
Deck 1 Volume Fader | 0xB1 | 0x07 | 2 | [Channel1] | GeminiSlate.volume
Deck 1 Pregain | 0xB1 | 0x0B | 2 | [Channel1] | GeminiSlate.pregain
Deck 1 Filter | 0xB1 | 0x14 | 2 | [Channel1] | GeminiSlate.filter
Deck 1 EQ High | 0xB1 | 0x0F | 2 | [EqualizerRack1_[Channel1]_Effect1] | parameter3
Deck 1 EQ Mid | 0xB1 | 0x13 | 2 | [EqualizerRack1_[Channel1]_Effect1] | parameter2
Deck 1 EQ Low | 0xB1 | 0x17 | 2 | [EqualizerRack1_[Channel1]_Effect1] | parameter1
Deck 1 Play | 0x91 | 0x3B | 2 | [Channel1] | GeminiSlate.playButton
Deck 1 Cue | 0x91 | 0x3D | 2 | [Channel1] | GeminiSlate.cueButton
Deck 1 Sync | 0x91 | 0x3F | 2 | [Channel1] | GeminiSlate.syncButton
Deck 1 Load | 0x91 | 0x40 | 2 | [Channel1] | GeminiSlate.loadButton
Deck 1 PFL | 0x91 | 0x05 | 2 | [Channel1] | GeminiSlate.pflButton
Deck 1 Reverse | 0x91 | 0x54 | 2 | [Channel1] | GeminiSlate.reverseButton
Deck 1 Pad Mode HotCue | 0x91 | 0x55 | 2 | [Channel1] | GeminiSlate.padMode
Deck 1 Pad Mode Loop | 0x91 | 0x56 | 2 | [Channel1] | GeminiSlate.padMode
Deck 1 Pad Mode Sampler | 0x91 | 0x57 | 2 | [Channel1] | GeminiSlate.padMode
Deck 1 Pad 1 | 0x91 | 0x06 | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 2 | 0x91 | 0x09 | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 3 | 0x91 | 0x0C | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 4 | 0x91 | 0x0F | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 5 | 0x91 | 0x12 | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 6 | 0x91 | 0x15 | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 7 | 0x91 | 0x18 | 2 | [Channel1] | GeminiSlate.pad
Deck 1 Pad 8 | 0x91 | 0x1B | 2 | [Channel1] | GeminiSlate.pad
Deck 2 Shift | 0x94 | 0x37 | 5 | [Channel2] | GeminiSlate.shift
Deck 2 Jog Touch | 0x94 | 0x41 | 5 | [Channel2] | GeminiSlate.wheelTouch
Deck 2 Jog Turn | 0xB4 | 0x04 | 5 | [Channel2] | GeminiSlate.wheelTurn
Deck 2 Rate Fader | 0xB4 | 0x01 | 5 | [Channel2] | GeminiSlate.rate
Deck 2 Volume Fader | 0xB4 | 0x07 | 5 | [Channel2] | GeminiSlate.volume
Deck 2 Pregain | 0xB4 | 0x0B | 5 | [Channel2] | GeminiSlate.pregain
Deck 2 Filter | 0xB4 | 0x14 | 5 | [Channel2] | GeminiSlate.filter
Deck 2 EQ High | 0xB4 | 0x0F | 5 | [EqualizerRack1_[Channel2]_Effect1] | parameter3
Deck 2 EQ Mid | 0xB4 | 0x13 | 5 | [EqualizerRack1_[Channel2]_Effect1] | parameter2
Deck 2 EQ Low | 0xB4 | 0x17 | 5 | [EqualizerRack1_[Channel2]_Effect1] | parameter1
Deck 2 Play | 0x94 | 0x3B | 5 | [Channel2] | GeminiSlate.playButton
Deck 2 Cue | 0x94 | 0x3D | 5 | [Channel2] | GeminiSlate.cueButton
Deck 2 Sync | 0x94 | 0x3F | 5 | [Channel2] | GeminiSlate.syncButton
Deck 2 Load | 0x94 | 0x40 | 5 | [Channel2] | GeminiSlate.loadButton
Deck 2 PFL | 0x94 | 0x05 | 5 | [Channel2] | GeminiSlate.pflButton
Deck 2 Reverse | 0x94 | 0x54 | 5 | [Channel2] | GeminiSlate.reverseButton
Deck 2 Pad Mode HotCue | 0x94 | 0x55 | 5 | [Channel2] | GeminiSlate.padMode
